PH510 Assignment 4 - Task 4  (16 MPI ranks)
Two hard-sphere bosons in a 2D harmonic trap  [parallel]

Parameter scan wall time   = 18.421478 s
Final production wall time = 0.656053 s

   alpha      beta     energy / Ha       std err     variance / Ha^2    accept
----------------------------------------------------------------------------
  0.5000    0.1000      4.16603202    1.4685e-02      3.66215714e+00   58.00%
  0.5000    0.2000      3.53278806    1.1904e-02      2.66274424e+00   57.00%
  0.5000    0.3000      3.22971536    1.0861e-02      2.19345583e+00   56.61%
  0.5000    0.4000      3.04960578    9.9760e-03      2.03393332e+00   56.12%
  0.5000    0.5000      2.95218804    9.7707e-03      1.99576562e+00   55.95%
  0.5000    0.6000      2.86106812    9.8683e-03      1.98174977e+00   55.68%
  0.5000    1.0000      2.69806479    9.3494e-03      1.65561618e+00   54.92%
  0.5000    2.0000      2.58678917    9.4654e-03      1.77249467e+00   54.13%
  0.5000    3.5000      2.54117487    8.2151e-03      1.43923977e+00   53.54%
  0.5000    5.0000      2.52031255    8.7919e-03      1.38563321e+00   53.31%
  0.5000   10.0000      2.52235792    9.1292e-03      1.63989212e+00   53.03%
  0.6000    0.1000      3.52488186    1.1256e-02      2.35268693e+00   57.99%
  0.6000    0.2000      3.07335027    9.4242e-03      1.71282672e+00   57.04%
  0.6000    0.3000      2.84800981    8.1236e-03      1.45070430e+00   56.62%
  0.6000    0.4000      2.69406103    7.9095e-03      1.48770890e+00   56.47%
  0.6000    0.5000      2.62377040    7.9494e-03      1.28856079e+00   55.99%
  0.6000    0.6000      2.55429858    7.3651e-03      1.24990307e+00   56.05%
  0.6000    1.0000      2.41398899    8.1075e-03      1.92532288e+00   55.17%
  0.6000    2.0000      2.33059520    6.9634e-03      1.07430430e+00   54.00%
  0.6000    3.5000      2.29390828    7.1026e-03      1.29436116e+00   53.45%
  0.6000    5.0000      2.27723116    6.5668e-03      1.08394998e+00   53.21%
  0.6000   10.0000      2.27453163    7.1603e-03      1.23908434e+00   53.09%
  0.7000    0.1000      3.12477288    9.0049e-03      1.65658390e+00   58.13%
  0.7000    0.2000      2.75768625    7.4095e-03      1.19446551e+00   57.39%
  0.7000    0.3000      2.59250639    6.7783e-03      1.15531516e+00   56.93%
  0.7000    0.4000      2.48590421    6.8538e-03      1.05072557e+00   56.55%
  0.7000    0.5000      2.40765317    6.2252e-03      1.07255735e+00   56.29%
  0.7000    0.6000      2.36169079    6.6189e-03      1.29144394e+00   55.99%
  0.7000    1.0000      2.24848172    5.6394e-03      8.40163711e-01   55.06%
  0.7000    2.0000      2.18482913    5.4768e-03      9.83794041e-01   54.18%
  0.7000    3.5000      2.15822067    4.9301e-03      5.93161342e-01   53.72%
  0.7000    5.0000      2.14232133    5.6137e-03      9.07308102e-01   53.39%
  0.7000   10.0000      2.13326600    6.0096e-03      1.22949692e+00   53.25%
  0.8000    0.1000      2.83044973    8.0585e-03      1.58574203e+00   58.26%
  0.8000    0.2000      2.55686407    6.0587e-03      1.00122584e+00   57.45%
  0.8000    0.3000      2.41286106    6.0462e-03      1.03995421e+00   57.09%
  0.8000    0.4000      2.33669707    6.0065e-03      1.15528071e+00   56.54%
  0.8000    0.5000      2.28676500    4.9600e-03      7.11335682e-01   56.25%
